transaction_id,customer_id,customer_name,product_id,price,product_name,category,purchase_location,city,transaction_date,quantity,payment_method,discount,email,phone,payment_status,revenue,year,month,quarter
1,642,T***,108,15000.0,Mixer Grinder,Home Appliances,offline,Bangalore,2025-12-06,3,UPI,0.1,Tr***@gmail.com,******6968,successful,40500.0,2025,December,4
2,881,S***,102,70000.0,Phone,Electronics,online,Bangalore,2025-07-21,5,Card,0.35,Sa***@yahoo.com,******8911,successful,227500.0,2025,July,3
3,505,S***,109,65000.0,Refrigerator,Home Appliances,offline,Chennai,2025-07-11,2,UPI,0.05,Sa***@outlook.com,******1565,successful,123500.0,2025,July,3
4,794,G***,106,80000.0,Sofa,Furniture,offline,Chennai,2025-10-06,2,UPI,0.05,Ge***@gmail.com,******4201,successful,152000.0,2025,October,4
5,864,C***,108,15000.0,Mixer Grinder,Home Appliances,offline,Chennai,2025-12-12,1,Cash,0.05,Ca***@yahoo.com,******9477,successful,14250.0,2025,December,4
6,181,M***,101,250000.0,Laptop,Electronics,online,Delhi,2025-07-25,5,NetBanking,0.35,Ma***@gmail.com,******2717,successful,812500.0,2025,July,3
6,181,M***,101,250000.0,Laptop,Electronics,online,Delhi,2025-07-25,5,NetBanking,0.35,Ma***@gmail.com,******2717,failed,812500.0,2025,July,3
7,142,C***,101,250000.0,Laptop,Electronics,online,Hyderabad,2026-03-03,2,UPI,0.05,Ch***@gmail.com,******6322,successful,475000.0,2026,March,1
8,457,C***,102,70000.0,Phone,Electronics,online,Hyderabad,2026-02-19,1,Card,0.05,Ca***@gmail.com,******7576,successful,66500.0,2026,February,1
9,749,L***,110,45000.0,Microwave,Home Appliances,offline,Mumbai,2025-08-30,3,Card,0.3,Li***@outlook.com,******4201,successful,94500.0,2025,August,3
10,146,J***,102,70000.0,Phone,Electronics,offline,Bangalore,2025-12-16,2,UPI,0.4,Jo***@outlook.com,******9963,successful,84000.0,2025,December,4
11,946,L***,104,8000.0,Shoes,Clothing,offline,Delhi,2025-12-15,4,Card,0.3,Li***@gmail.com,******0319,successful,22400.0,2025,December,4
12,757,Y***,106,80000.0,Sofa,Furniture,online,Hyderabad,2025-06-30,3,UPI,0.25,Yv***@gmail.com,******6334,successful,180000.0,2025,June,2
13,838,S***,109,65000.0,Refrigerator,Home Appliances,offline,Chennai,2025-06-14,5,Cash,0.35,Su***@outlook.com,******6426,successful,211250.0,2025,June,2
14,117,B***,109,65000.0,Refrigerator,Home Appliances,offline,Delhi,2026-02-24,5,Card,0.2,Br***@gmail.com,******7598,successful,260000.0,2026,February,1
15,923,G***,109,65000.0,Refrigerator,Home Appliances,online,Mumbai,2026-01-31,5,UPI,0.25,Ge***@gmail.com,******9222,successful,243750.0,2026,January,1
16,765,E***,104,8000.0,Shoes,Clothing,offline,Bangalore,2025-08-20,5,NetBanking,0.15,Er***@yahoo.com,******1327,successful,34000.0,2025,August,3
17,570,D***,102,70000.0,Phone,Electronics,offline,Chennai,2025-05-19,3,NetBanking,0.15,Do***@gmail.com,******0219,successful,178500.0,2025,May,2
18,973,A***,108,15000.0,Mixer Grinder,Home Appliances,offline,Mumbai,2025-05-15,2,Card,0.15,Al***@outlook.com,******9731,successful,25500.0,2025,May,2
